id,created_at,autonomous_features,company_name,industry,company_email,purpose,experience_level,price,flight_time,flight_range,camera_quality,obstacle_avoidance,portability,connectivity_options,live_streaming,payload_capacity,wind_resistance,night_vision,operating_environment,imageUrl
73,2025-03-08T14:37:19.123442+00:00,"['Object Tracking', 'Return to Home', 'GPS Waypoint Navigation']",Nienow Group,agriculture,Magdalen.Prohaska@hotmail.com,research,2,590,90,150,0,True,Compact & Foldable,"['WiFi', 'Remote Controller Only', '5G / LTE']",True,3370,8,True,urban_areas,
74,2025-03-08T14:37:19.123442+00:00,"['Follow Me Mode', 'Return to Home']",Bogan LLC,agriculture,Demarco.Botsford@gmail.com,research,3,29170,20,195,720,True,Regular Drone,"['5G / LTE', 'WiFi', 'Remote Controller Only', 'Mobile App']",True,5580,19,True,urban_areas,
75,2025-03-08T14:37:19.123442+00:00,"['Return to Home', 'Object Tracking', 'Follow Me Mode', 'GPS Waypoint Navigation']",Quigley - Kertzmann,agriculture,Leonardo52@yahoo.com,research,4,8040,40,45,4000,True,Regular Drone,"['WiFi', 'Remote Controller Only', 'Mobile App']",True,3780,16,True,urban_areas,
76,2025-03-08T14:37:19.123442+00:00,"['Geofencing', 'Object Tracking', 'Return to Home', 'GPS Waypoint Navigation']",Lebsack - VonRueden,agriculture,Berneice83@gmail.com,research,4,14350,80,10,4000,True,Compact & Foldable,['Mobile App'],True,5530,16,True,urban_areas,
77,2025-03-08T14:37:19.123442+00:00,"['Object Tracking', 'Follow Me Mode']",Ratke - Schumm,agriculture,Dallin_Greenfelder@hotmail.com,research,3,25580,90,30,720,True,Regular Drone,"['WiFi', 'Remote Controller Only', '5G / LTE', 'Mobile App']",True,8550,19,True,urban_areas,
78,2025-03-08T14:37:19.123442+00:00,"['Return to Home', 'Object Tracking', 'GPS Waypoint Navigation', 'Follow Me Mode']",Becker Group,agriculture,Jace_Kling@hotmail.com,research,2,13220,60,225,1080,True,Compact & Foldable,"['5G / LTE', 'WiFi']",True,2550,20,True,urban_areas,
79,2025-03-08T14:37:19.123442+00:00,"['Return to Home', 'Geofencing', 'Follow Me Mode']","Koepp, Heidenreich and Kautzer",agriculture,Leonel.Bins@hotmail.com,research,3,29840,40,125,720,True,Regular Drone,['Remote Controller Only'],True,4740,28,True,urban_areas,
80,2025-03-08T14:37:19.123442+00:00,['Geofencing'],"Littel, Doyle and Sawayn",agriculture,Francisco.Kuhlman@hotmail.com,research,3,4980,80,105,720,True,Compact & Foldable,"['5G / LTE', 'Remote Controller Only']",True,4430,11,True,urban_areas,
81,2025-03-08T14:37:19.123442+00:00,['Geofencing'],"Marvin, Casper and Jerde",agriculture,Raquel_Nikolaus@yahoo.com,research,2,1210,110,20,4000,True,Regular Drone,"['Remote Controller Only', 'WiFi', '5G / LTE']",True,3960,14,True,urban_areas,
82,2025-03-08T14:37:19.123442+00:00,"['Follow Me Mode', 'GPS Waypoint Navigation']","Sauer, Connelly and Farrell",agriculture,Johnpaul_Mertz86@hotmail.com,research,2,15320,0,45,6000,True,Regular Drone,"['Mobile App', 'Remote Controller Only', '5G / LTE']",True,4850,19,True,urban_areas,
